urlhash,savedate,price,salt,creature,instant,sorcery,artifact,enchantment,battle,planeswalker,land,bracket,deck_color_id,tags,deckpreview_url
6kpPP4vpLXZj-CzvMqQBtA,2026-07-01,1582,46.725159876048565,26,13,9,13,2,0,4,32,4,8,[],https://edhrec.com/deckpreview/6kpPP4vpLXZj-CzvMqQBtA
2WH6jwEHuF_ZEOCCE6PvEQ,2026-06-30,531,48.959385639987886,22,13,12,13,8,0,2,29,4,8,['Burn'],https://edhrec.com/deckpreview/2WH6jwEHuF_ZEOCCE6PvEQ
yAIVTEoG6sd3wrBMX9I8Tg,2026-06-30,427,51.17416085675359,22,7,10,9,12,0,0,39,4,8,[],https://edhrec.com/deckpreview/yAIVTEoG6sd3wrBMX9I8Tg
w1_IS5KNwEtiMBGIC7-prA,2026-06-29,519,47.36777962744236,12,11,12,15,8,0,0,41,4,8,[],https://edhrec.com/deckpreview/w1_IS5KNwEtiMBGIC7-prA
ipu-yQnvVMY9DLkqSDAKpg,2026-06-29,4467,64.9377819262445,13,9,9,16,15,0,1,36,4,8,"['Group Slug', 'Stax']",https://edhrec.com/deckpreview/ipu-yQnvVMY9DLkqSDAKpg
YdSgdrU-kftNxNJxRPngKw,2026-06-26,295,40.96570435818285,20,9,11,13,11,0,1,34,4,8,[],https://edhrec.com/deckpreview/YdSgdrU-kftNxNJxRPngKw
cxV4f-gtUhV02Z1jhCYxxA,2026-06-24,1806,57.32414844632149,15,12,13,14,6,0,4,35,4,8,"['Burn', 'Glass Cannon']",https://edhrec.com/deckpreview/cxV4f-gtUhV02Z1jhCYxxA
Ai5JGotYvXj4u6B8mTUIgQ,2026-06-23,847,55.6801787391305,14,14,10,18,7,0,0,36,4,8,"['Aggro', 'Group Slug', 'Burn']",https://edhrec.com/deckpreview/Ai5JGotYvXj4u6B8mTUIgQ
s_f_48uB5CE-5MiPPv76LQ,2026-06-21,719,46.66087705641985,28,9,16,5,8,0,0,33,4,8,[],https://edhrec.com/deckpreview/s_f_48uB5CE-5MiPPv76LQ
fGurpbmEmmH19ehVUhJ9Zg,2026-06-20,500,47.28802820201963,17,9,11,16,11,0,1,34,4,8,[],https://edhrec.com/deckpreview/fGurpbmEmmH19ehVUhJ9Zg
